stationId,polluant,valeur,date,heure
6,"SO2",1,"2025-02-01",16
6,"O3",22,"2025-02-01",16
6,"NO2",2,"2025-02-01",16
6,"PM",12,"2025-02-01",16
17,"O3",21,"2025-02-01",16
17,"NO2",2,"2025-02-01",16
17,"PM",7,"2025-02-01",16
28,"CO",1,"2025-02-01",16
28,"O3",19,"2025-02-01",16
28,"NO2",2,"2025-02-01",16
28,"PM",25,"2025-02-01",16
31,"SO2",1,"2025-02-01",16
31,"CO",1,"2025-02-01",16
31,"O3",22,"2025-02-01",16
31,"NO2",2,"2025-02-01",16
31,"PM",7,"2025-02-01",16
50,"PM",7,"2025-02-01",16
55,"CO",1,"2025-02-01",16
55,"O3",23,"2025-02-01",16
55,"NO2",1,"2025-02-01",16
55,"PM",6,"2025-02-01",16
66,"O3",22,"2025-02-01",16
3,"SO2",1,"2025-02-01",4
3,"O3",24,"2025-02-01",4
3,"NO2",1,"2025-02-01",4
3,"PM",4,"2025-02-01",4
6,"SO2",1,"2025-02-01",4
6,"O3",22,"2025-02-01",4
6,"NO2",1,"2025-02-01",4
6,"PM",5,"2025-02-01",4
17,"O3",22,"2025-02-01",4
17,"NO2",1,"2025-02-01",4
17,"PM",4,"2025-02-01",4
28,"CO",1,"2025-02-01",4
28,"O3",20,"2025-02-01",4
28,"NO2",2,"2025-02-01",4
28,"PM",6,"2025-02-01",4
31,"SO2",1,"2025-02-01",4
31,"CO",1,"2025-02-01",4
31,"O3",19,"2025-02-01",4
31,"NO2",3,"2025-02-01",4
31,"PM",5,"2025-02-01",4
50,"PM",5,"2025-02-01",4
55,"CO",1,"2025-02-01",4
55,"O3",23,"2025-02-01",4
3,"SO2",1,"2025-02-01",14
3,"O3",25,"2025-02-01",14
3,"NO2",1,"2025-02-01",14
3,"PM",6,"2025-02-01",14
6,"SO2",1,"2025-02-01",14
6,"O3",23,"2025-02-01",14
6,"NO2",1,"2025-02-01",14
6,"PM",7,"2025-02-01",14
17,"O3",21,"2025-02-01",14
17,"NO2",2,"2025-02-01",14
17,"PM",6,"2025-02-01",14
28,"CO",1,"2025-02-01",14
28,"O3",21,"2025-02-01",14
28,"NO2",2,"2025-02-01",14
28,"PM",22,"2025-02-01",14
31,"SO2",1,"2025-02-01",14
31,"CO",1,"2025-02-01",14
31,"O3",23,"2025-02-01",14
31,"NO2",2,"2025-02-01",14
31,"PM",7,"2025-02-01",14
50,"PM",7,"2025-02-01",14
55,"CO",1,"2025-02-01",14
55,"O3",23,"2025-02-01",14
55,"NO2",1,"2025-02-01",14
55,"PM",5,"2025-02-01",14
66,"O3",23,"2025-02-01",14
66,"NO2",1,"2025-02-01",14
55,"PM",4,"2025-02-01",4
66,"O3",22,"2025-02-01",4
66,"NO2",1,"2025-02-01",4
66,"PM",5,"2025-02-01",4
80,"SO2",1,"2025-02-01",4
80,"O3",22,"2025-02-01",4
80,"NO2",1,"2025-02-01",4
80,"PM",4,"2025-02-01",4
99,"SO2",1,"2025-02-01",4
99,"O3",23,"2025-02-01",4
99,"NO2",1,"2025-02-01",4
99,"PM",5,"2025-02-01",4
103,"O3",20,"2025-02-01",4
103,"NO2",2,"2025-02-01",4
103,"PM",11,"2025-02-01",4
55,"NO2",1,"2025-02-01",4
3,"SO2",1,"2025-02-01",3
3,"O3",24,"2025-02-01",3
3,"NO2",1,"2025-02-01",3
3,"PM",4,"2025-02-01",3
