LONGITUDE,LATITUDE
-73.563324,45.606483
-73.653312,45.540928
-73.653312,45.540928
-73.65481,45.552676
-73.65481,45.552676
-73.642792,45.541031
-73.642792,45.541031
-73.72589,45.531689
-73.72589,45.531689
-73.664778,45.548862
-73.664778,45.548862
-73.664778,45.548862
-73.664778,45.548862
-73.660453,45.565295
-73.660453,45.565295
-73.678763,45.538203
-73.678763,45.538203
-73.678763,45.538203
-73.678763,45.538203
-73.646632,45.552497
-73.646632,45.552497
-73.671649,45.557084
-73.671649,45.557084
-73.573054,45.621933
-73.56918,45.603003
-73.56918,45.603003
-73.54166,45.60148
-73.54166,45.60148
-73.54166,45.60148
-73.54166,45.60148
-73.669799,45.553276
-73.669799,45.553276
-73.557643,45.601665
-73.557643,45.601665
-73.551504,45.604093
-73.551504,45.604093
-73.553482,45.615923
-73.553482,45.615923
-73.559252,45.617913
-73.559252,45.617913
-73.559549,45.595635
-73.559549,45.595635
-73.547943,45.613289
-73.547943,45.613289
-73.547943,45.613289
-73.547943,45.613289
-73.582876,45.603716
-73.582876,45.603716
-73.552876,45.59775
-73.552876,45.59775
-73.552876,45.59775
-73.552876,45.59775
-73.561428,45.607902
-73.561428,45.607902
-73.658655,45.558804
-73.658655,45.558804
-73.6511,45.55098
-73.6511,45.55098
-73.673625,45.552297
-73.673625,45.552297
-73.656227,45.562906
-73.656227,45.562906
-73.653615,45.567582
-73.653615,45.567582
-73.706766,45.53217
-73.706766,45.53217
-73.692268,45.545777
-73.692268,45.545777
-73.54809,45.610535
-73.622776,45.519203
-73.671649,45.557084
-73.671649,45.557084
-73.65382,45.578369
-73.65382,45.578369
-73.675833,45.55174
-73.675833,45.55174
-73.642342,45.563199
-73.642342,45.563199
-73.624298,45.555275
-73.624298,45.555275
-73.652551,45.55656
-73.652551,45.55656
-73.669593,45.535466
-73.669593,45.535466
-73.656741,45.578392
-73.656741,45.578392
-73.633158,45.553045
-73.633158,45.553045
-73.633158,45.553045
-73.633158,45.553045
-73.717871,45.53558
-73.56931,45.597136
-73.56931,45.597136
-73.585155,45.605348
-73.585155,45.605348
-73.5891,45.609196
-73.5891,45.609196
-73.55157,45.616346
-73.55157,45.616346
-73.557261,45.609787
-73.557261,45.609787
-73.557261,45.609787
-73.557261,45.609787
-73.586515,45.607482
-73.586515,45.607482
-73.586515,45.607482
-73.586515,45.607482
-73.586515,45.607482
-73.586515,45.607482
-73.586515,45.607482
-73.586515,45.607482
-73.573054,45.621933
-73.659595,45.556288
-73.659595,45.556288
-73.679602,45.533339
-73.679602,45.533339
-73.651406,45.544194
-73.651406,45.544194
-73.651406,45.544194
-73.651406,45.544194
-73.647587,45.577554
-73.647587,45.577554
-73.667787,45.55862
-73.667787,45.55862
-73.667026,45.559919
-73.667026,45.559919
-73.653606,45.539904
-73.653606,45.539904
-73.653045,45.573573
-73.653045,45.573573
-73.698055,45.539144
-73.698055,45.539144
-73.698055,45.539144
-73.698055,45.539144
-73.720946,45.532201
-73.724947,45.502385
-73.678216,45.516107
-73.597303,45.578506
-73.597303,45.578506
-73.607482,45.589301
-73.607482,45.589301
-73.5838,45.589969
-73.5838,45.589969
-73.594047,45.582365
-73.594047,45.582365
-73.592244,45.584271
-73.592244,45.584271
-73.592244,45.584271
-73.592244,45.584271
-73.581149,45.582044
-73.581149,45.582044
-73.588554,45.587314
-73.588554,45.587314
-73.584206,45.584691
-73.584206,45.584691
-73.596106,45.58076
-73.596106,45.58076
-73.59837,45.58554
-73.59837,45.58554
-73.59837,45.58554
-73.59837,45.58554
-73.59573,45.574105
-73.59573,45.574105
-73.59573,45.574105
-73.577613,45.494773
-73.577613,45.494773
-73.577613,45.494773
-73.577613,45.494773
-73.577613,45.494773
-73.609774,45.519056
-73.609774,45.519056
-73.59816,45.517535
-73.59816,45.517535
